Requirements,project Category,Requirement Category,Risk Target Category,Probability,Magnitude of Risk,Impact,Dimension of Risk,Afftecting No of Modules,Fixing Duration (Days),Fix Cost (\% of Project),Priority,Risk Level
 It should combine some of the features of the old system so that users (students) who are familiar with the old system will not have trouble adjusting to the new system,Management Information System,Usability,User,62.0,Medium,high,Project Complexity,3.0,9.0,1.0,61.6,4
The new system should also have an 0.25 that can be useful to records employees for them to easily process transcript requests. ,Management Information System,Usability,Project complexity,45.0,Medium,moderate,User,5.0,9.0,0.0,49.438462,3
Some of the old records system features will be included in the new system to help records employees to adjust easily to the new system,Management Information System,Usability,Design,69.0,Low,moderate,Organizational Requirements,2.0,4.0,0.0,61.661538,4
The new system should have a tool to help students produce their timetable instead of them spending much time looking at the timetable and manually planning it,Management Information System,Usability,Project complexity,86.0,High,moderate,User,5.0,3.0,0.0,76.476923,4
This 0.9ity does not replace the old system of planning the timetable manually but it is an additional feature that can be used,Management Information System,Usability,Cost,92.0,High,high,Organizational Requirements,7.0,4.0,0.0,83.692308,5
"In the event of a system crash during a transaction, the current transaction will either completed or not completed. This will be handled by an already existing database",Management Information System,Security,Requirement,34.0,Low,moderate,Organizational Requirements,1.0,6.0,0.0,35.5,2
"The system must effectively recover from a crash within five seconds.  For the system to effectively recover, it must be able to restart a sessions with the user within the time limit",Management Information System,Security,Time Dimension,54.0,Low,Low,Project Complexity,1.0,2.0,0.0,47.830769,3
The system must be able to run without interruption and able to handle thousands of concurrent requests,Management Information System,Performance,Design,11.0,Low,moderate,User,3.0,3.0,0.0,16.7,1
"It must be able to effectively recover from crashes and other problems, as it is handling sensitive data. It should be designed in such a way that it can run on distributed systems",Management Information System,Performance,Design,43.0,Medium,moderate,User,2.0,1.0,0.0,39.123077,2
When brought up in the interview the response from UVic web systems was Basically we want the system to handle errors gracefully like crashes,Management Information System,Performance,Project complexity,74.0,High,moderate,Planning and Control,4.0,1.0,0.0,64.984615,4
The developed system will have to deal with large quantities of data and a large number of users accessing the data at once,Management Information System,Performance,Design,8.0,Low,high,Organizational Requirements,4.0,3.0,0.0,15.469231,1
The required system should be available on any system or workstation with a minimum requirement of 56k internet access,Management Information System,Constraints,Planning & Control,14.0,Low,Low,Team,2.0,4.0,0.0,19.023077,1
The new system should be able to work with the existing system used by the records system. This should allow the records office to receive transcript requests,Management Information System,Constraints,Organizational Environment,38.0,Very Low,moderate,User,4.0,6.0,0.0,40.469231,3
The user 0.25 will have a single access portal where the user can sign-in and have access to the entire system,Management Information System,Interfaces,Project complexity,84.0,High,catastrophic,User,1.0,9.0,0.0,76.315385,4
If a student signs in they are taken to the Student Main Page  If a Records employee signs in they are taken to a Records Main Page,Management Information System,Interfaces,Design,53.0,Medium,moderate,User,1.0,6.0,0.0,49.623077,3
The Records main page would allow a records employee to process Official Transcript orders,Management Information System,Interfaces,Design,41.0,Very Low,Low,User,2.0,4.0,0.0,39.238462,2
The Student main page would have links or tabs to the various other systems like Course Registration Course Time-tables Student Accounts Transcripts and Records,Management Information System,Interfaces,Design,28.0,Low,high,User,3.0,6.0,0.0,31.930769,2
The Course Registration Page would show the courses the user is currently registered in and allow the user to register for next term courses if they are eligible,Management Information System,Interfaces,Design,26.0,Low,moderate,User,4.0,7.0,0.0,31.815385,2
 It will not display past courses or grades,Management Information System,Interfaces,Design,33.0,Very Low,Low,Organizational Requirements,2.0,5.0,0.0,34.046154,2
"When a user chooses the Register for Courses option, they are taken to a page that has a list of courses offered that semester and an empty time-table",Management Information System,Interfaces,Design,35.0,Low,moderate,User,4.0,8.0,0.0,39.507692,2
"When user selects a course, the course information like class size, current enrollment information (i.e seats Availibility), Instructor is displayed in text form",Management Information System,Interfaces,Design,19.0,Medium,high,User,8.0,9.0,0.0,31.276923,2
The course also appears in the time-table,Management Information System,Interfaces,Design,20.0,Low,Low,User,9.0,5.0,0.0,29.315385,2
"The Course Time-Tables page basically displays information (timings, instructor, class size, pre-requisites) of all the courses offered at UVic",Management Information System,Interfaces,Design,21.0,High,moderate,User,7.0,8.0,0.0,31.276923,2
"The Student Account page contains information like a students address, tuition account information, Netlink account details, and PinChg. ",Management Information System,Interfaces,Design,16.0,Very Low,Low,User,5.0,5.0,0.0,23.084615,2
A student will be able to view and edit information which includes changing passwords,Management Information System,Interfaces,User,34.0,Medium,moderate,Organizational Requirements,6.0,8.0,0.0,40.192308,3
The Transcripts and Records page will contain a students unofficial transcripts including and an ability to display all previously taken courses and the corresponding grades.,Management Information System,Interfaces,Design,13.0,Low,high,User,3.0,3.0,0.0,18.084615,1
 It will also display a students standing i.e. G.P.A,Management Information System,Interfaces,Design,18.0,Very Low,Low,User,5.0,5.0,0.0,24.623077,2
This page will also allow a student to order official transcripts,Management Information System,Interfaces,Design,15.0,Low,moderate,User,2.0,7.0,0.0,21.815385,2
"The system will have 3 terminals per store, with each one having a touch screen monitor, keyboard, credit card scanner and a cash register",Enterprise System,Interfaces,Design,23.0,Low,insignificant,User,5.0,9.0,0.0,32.238462,2
The system will have a 45 minute battery backup at each terminal,Enterprise System,Interfaces,Planning & Control,43.0,Medium,moderate,User,1.0,8.0,0.0,44.369231,3
The system will have a 2 hour battery backup at the server at headquarters,Enterprise System,Interfaces,Planning & Control,40.0,Medium,moderate,User,1.0,3.0,0.0,38.215385,2
The system will interact with the banking network for the purpose of processing payments,Enterprise System,Interfaces,Business,76.0,High,moderate,Organizational Requirements,3.0,4.0,1.0,69.153846,4
The systems data needs will be supported by a connection to the headquarters server,Enterprise System,Interfaces,Business,79.0,Medium,high,Organizational Requirements,4.0,3.0,1.0,71.461538,4
"The System will consist of Four (4) modules; Customer Service, Customer Portal Website, Fleet Management, Reports & Analytics",Enterprise System,Interfaces,Unrealistic Requirements,65.0,Low,moderate,Organizational Requirements,6.0,3.0,1.0,62.184615,4
The System will contain a Customer Service module that will allow Store and Corporate employees to provide information to customers,Enterprise System,Functional,Project complexity,53.0,High,moderate,User,4.0,2.0,1.0,51.169231,3
The System will contain a Customer Service module that will allow Store and Corporate employees access to the system for the purpose of Creating Rental Agreements,Enterprise System,Functional,Project complexity,57.0,Medium,high,User,3.0,2.0,1.0,53.476923,3
The System will contain a Customer Service module that will allow Store and Corporate employees to collect payments,Enterprise System,Functional,Project complexity,76.0,High,high,Cost,6.0,1.0,1.0,70.015385,4
The System will contain a Customer Portal Website that will provide information to the public and customers about the company and operations of the company,Enterprise System,Functional,User,43.0,Low,moderate,Organizational Requirements,2.0,1.0,1.0,40.576923,3
"This information will include Locations, Hours of operation, contact information, available rental vehicles, rental packages, price estimate, and any other information deemed necessary by the company.",Enterprise System,Functional,Requirement,65.0,Medium,moderate,Project Complexity,2.0,3.0,3.0,61.292308,4
"The customer portal website will provide the customer with the closest location to their zip code and up to the next five (5) closest locations in addition to hours of operations, contact info and directions",Enterprise System,Functional,Unrealistic Requirements,37.0,Low,high,Project Complexity,1.0,1.0,3.0,37.515385,2
The System will generate an inventory capacity report for the desired time and location,Enterprise System,Functional,Time Dimension,43.0,Medium,moderate,Project Complexity,1.0,4.0,3.0,44.484615,3
The System will allow for new vehicles to be added to the inventory of the company,Enterprise System,Functional,Requirement,24.0,Low,moderate,Organizational Requirements,1.0,5.0,4.0,31.076923,2
The Fleet management module will allow the system to track vehicle maintenance. Maintenance will be tracked through mileage and or time as decided by the company,Enterprise System,Functional,Time Dimension,21.0,Medium,moderate,Project Complexity,3.0,6.0,2.0,29.869231,2
The System will contain a Report and Analytics Module that will serve the purpose of generating reports on the operations of the company,Enterprise System,Functional,Requirement,43.0,Low,high,Organizational Requirements,2.0,8.0,1.0,46.576923,3
"The System will contain a Report and Analytics Module that will be capable of generating reports for items such as sales, maintenance, vehicle history, operations, rentals, and insurance",Enterprise System,Functional,Project complexity,71.0,Medium,moderate,Organizational Requirements,5.0,9.0,5.0,74.323077,4
The System will contain a Report and Analytics Module that will be capable of generating reports for a desired time and location,Enterprise System,Functional,Time Dimension,32.0,Medium,moderate,Project Complexity,7.0,6.0,4.0,42.946154,3
The system will batch the daily operations to headquarters at the end of each business day,Enterprise System,Functional,Business,54.0,Low,high,Organizational Requirements,3.0,7.0,3.0,56.461538,3
The system will generate a backup of all data weekly for the purpose of data loss prevention at the headquarters,Enterprise System,Functional,Schedule,19.0,Medium,Low,Estimations,2.0,4.0,1.0,25.038462,2
"The system will allow the customer to input the desired date, location and package options to determine vehicle availability",Enterprise System,Functional,Quality,12.0,Very Low,moderate,Schedule,1.0,4.0,2.0,19.461538,1
The system will display only vehicles that are currently available to rent to the customer during the rental process,Enterprise System,Functional,Schedule,25.0,Low,moderate,Estimations,3.0,3.0,4.0,32.038462,2
The system will create a customer account if the customer is not in the system,Enterprise System,Functional,Requirement,27.0,Low,Low,Schedule,1.0,2.0,3.0,30.153846,2
"The customer account will require name, address, date of birth, drivers License, and credit card number",Enterprise System,Functional,Requirement,31.0,Low,moderate,Planning and Control,4.0,3.0,1.0,34.930769,2
The system will require a credit card be on file but will allow customer to use different forms of payment at time of rental,Enterprise System,Functional,User,6.0,Negligible,catastrophic,Planning and Control,2.0,4.0,2.0,15.269231,1
The system will provide a report of the vehicles that are scheduled to be rented out and returned for the specified day,Enterprise System,Functional,Requirement,5.0,Negligible,high,Software Requirement,3.0,5.0,2.0,16.446154,1
The system will allow for a block reservation of more than one (1) car at a time,Enterprise System,Functional,Requirement,15.0,Very Low,Low,User,1.0,4.0,1.0,20.615385,2
at time of pickup the system will allow the employee to bring up the specified reservation and to print out a rental agreement,Enterprise System,Functional,Team,30.0,Low,moderate,Planning and Control,5.0,3.0,4.0,37.3,2
The system will require the employee to verify the information on the Rental Agreement and to then input into the system a notice that the agreement has been gone over. ,Enterprise System,Functional,Schedule,21.0,Low,Low,Software Requirement,1.0,2.0,1.0,24.1,2
This will ensure that the employee has in fact gone over the agreement and everything is in place.,Enterprise System,Functional,User,28.0,Low,Low,Software Requirement,2.0,1.0,5.0,31.984615,2
The system will ask if the employee has obtained the customer Signature on the rental agreement. Customer signature is required on the rental agreement by company policy.,Enterprise System,Functional,Quality,21.0,Low,Low,Software Requirement,1.0,2.0,3.0,25.523077,2
The system will allow for preliminary payment to be collected at time of pickup if company policies states that payment is to be collected at time of pickup.,Enterprise System,Functional,Quality,2.0,Negligible,moderate,Schedule,1.0,4.0,1.0,10.884615,1
The customer will liable for a no show charge if they fail to pick up the vehicle at the specified time. ,Enterprise System,Functional,Schedule,3.0,Negligible,catastrophic,Cost,1.0,3.0,4.0,13.607692,1
The system will require that the charge be process before the reservation can be closed out in the case of a no show,Enterprise System,Functional,Business,4.0,Negligible,moderate,Planning and Control,1.0,2.0,2.0,11.546154,1
The customer will have twenty four (24) hours before pickup time to call and cancel the reservation before the system requires the  no show charge,Enterprise System,Functional,Business,19.0,Very Low,insignificant,Team,1.0,3.0,5.0,25.923077,2
At time of return of rental vehicle the system will allow the employee to print out a Vehicle inspection form. This form is to be filled out at the vehicle and then input back into the system.,Enterprise System,Functional,Schedule,10.0,Very Low,moderate,Organizational Requirements,1.0,21.0,1.0,30.307692,2
"The vehicle inspection form will require information including model, license number, vin number, damage to the vehicle, level of fuel in the tank, mileage, and a section for other issues.",Enterprise System,Functional,Quality,10.0,Very Low,Low,Schedule,1.0,4.0,0.0,16.192308,1
The system will allow for a vehicle to be returned to a different location than the original rental location for the charge of a fee to be determined by the company,Enterprise System,Functional,User,11.0,Very Low,Low,Schedule,1.0,5.0,0.0,17.269231,1
The system will identify and additional charges that need to be charged for any damage or issue to the rental vehicle,Enterprise System,Functional,Quality,18.0,Very Low,insignificant,Software Requirement,1.0,3.0,1.0,22.215385,2
For company accounts the system will allow for the invoice (bill) to be sent to the company,Enterprise System,Functional,Business,29.0,Low,moderate,Schedule,1.0,2.0,0.0,29.461538,2
Company billing will be required to be set up in advance with the company to prevent fraud,Enterprise System,Functional,Business,19.0,Very Low,Low,Schedule,2.0,1.0,1.0,22.269231,2
After the vehicle inspection is done then the system will print off a final invoice for the costumer to sign,Enterprise System,Functional,Cost,20.0,Very Low,insignificant,Estimations,2.0,5.0,0.0,25.423077,2
This invoice will contain the total amount charged by the rental company including primary rental and additional charges. Physical copy will be saved as proof of transaction.,Enterprise System,Functional,Requirement,28.0,Very Low,moderate,Software Requirement,1.0,3.0,2.0,31.061538,2
The system will provide employees with a login,Enterprise System,Functional,Requirement,12.0,Very Low,high,Planning and Control,2.0,2.0,0.0,17.276923,1
The system will provide employees with a logout,Enterprise System,Functional,Cost,19.0,Very Low,moderate,Team,1.0,1.0,2.0,22.576923,2
The system will provide employees with the option to reset their login password,Enterprise System,Functional,Schedule,29.0,Very Low,Low,Cost,2.0,5.0,0.0,32.5,2
The system will provide employees with the option to change their login password,Enterprise System,Functional,Cost,28.0,Very Low,moderate,Estimations,1.0,3.0,2.0,31.153846,2
The system will allow employees with quick an efficient access to customer information.,Enterprise System,Functional,Cost,10.0,Negligible,Low,Schedule,3.0,1.0,0.0,15.384615,1
The system will provide employees with a screen view of all customer pickups for a specified day,Enterprise System,Functional,Quality,30.0,Very Low,insignificant,Schedule,2.0,6.0,3.0,36.038462,2
The system will provide employees with a screen view of an existing reservation of a customer,Enterprise System,Functional,Quality,25.0,Very Low,moderate,Software Requirement,1.0,4.0,0.0,27.946154,2
The system will provide customers to login on the web portal and view existing reservation in the system,Enterprise System,Functional,Business,15.0,Very Low,Low,Estimations,4.0,3.0,1.0,22.346154,2
The system will allow employees to check vehicle availability from inventory for customers,Enterprise System,Functional,Quality,15.0,Very Low,moderate,Project Complexity,2.0,2.0,0.0,19.523077,1
The system will allow employees to get specific vehicle information for customers,Enterprise System,Functional,Schedule,17.0,Low,insignificant,Schedule,3.0,1.0,2.0,22.384615,2
"The local system should be capable of running, at minimum, 1000 processes per minute (PPM)",Enterprise System,Performance,User,20.0,Low,moderate,Software Requirement,1.0,6.0,1.0,25.792308,2
The Headquarter (HQ) system should be able to process and allocate information to designated terminal within a 10 second refresh rate,Enterprise System,Performance,Cost,29.0,Low,catastrophic,Cost,3.0,4.0,1.0,33.530769,2
The system response time should be no longer than 1.0 seconds in order to keep up with the actions given by the User,Enterprise System,Performance,Schedule,28.0,Low,high,Team,1.0,2.0,1.0,29.5,2
"As the company begins to acquire more customers popularity, the system must be able to scale in speed, size, and versatility in order to accommodate the rising needs of the customer basis.",Enterprise System,Performance,People,15.0,Very Low,Low,Cost,4.0,1.0,1.0,20.384615,2
"The system will need to function on major internet operating software including Internet explorer, Firefox, Chrome, Safari, Opera, and Android",Enterprise System,Constraints,Quality,30.0,Low,Low,Planning and Control,2.0,5.0,1.0,33.584615,2
The system will be constrained operating software of the host computer which is windows,Enterprise System,Constraints,Business,31.0,Low,Low,Organizational Requirements,1.0,4.0,1.0,32.730769,2
The user should have a valid user id and password,Safety Critical System,Functional,People,30.0,Low,insignificant,Cost,3.0,3.0,1.0,33.615385,2
Web site contains login window for each user,Safety Critical System,Functional,Overdrawn Budget,20.0,Very Low,moderate,Cost,1.0,1.0,1.0,23.423077,2
User should provide a valid user id and password to access the web site,Safety Critical System,Functional,Requirement,19.0,Very Low,Low,User,4.0,6.0,1.0,28.307692,2
"The user (pedestrians,vehicle owners,traffic police)should provide a valid information.",Safety Critical System,Functional,User,15.0,Very Low,moderate,Estimations,2.0,3.0,1.0,21.384615,2
Web site contains Registration   window for each users,Safety Critical System,Functional,Time Dimension,10.0,Very Low,moderate,Estimations,1.0,2.0,0.0,15.846154,1
User should provide a valid details to create account in the web site,Safety Critical System,Functional,Schedule,11.0,Very Low,Low,Cost,3.0,1.0,0.0,17.115385,1
"The user (vehicle owners,pedestrains) should have to provide valid information to traffic police through admin",Safety Critical System,Functional,Schedule,10.0,Very Low,Low,Schedule,1.0,2.0,0.0,15.538462,1
Web site contains Compliant issued dialog box for every user,Safety Critical System,Functional,Quality,20.0,Very Low,high,Planning and Control,2.0,3.0,0.0,24.930769,2
validation form for every user,Safety Critical System,Functional,Schedule,21.0,Very Low,moderate,Planning and Control,3.0,1.0,0.0,24.930769,2
"The user (pedstrains,vehicle owners)can give compliant any time to traffic police",Safety Critical System,Functional,Quality,20.0,Very Low,Low,Estimations,4.0,4.0,0.0,27.038462,2
Web site contains Compliant issued dialog box for every user,Safety Critical System,Functional,Resource availability,30.0,Very Low,high,Estimations,1.0,1.0,0.0,30.507692,2
Admin can manage all users and maintain their data securely He can update the details and day to day updating can be done by admin,Safety Critical System,Functional,Software,31.0,Very Low,moderate,Organizational Requirements,2.0,5.0,0.0,34.776923,2
System can give the suggestions to the users during their discussion in discussion forum. He /She will give the traffic details. For participating in discussion forum he/she has to be registered.,Safety Critical System,Functional,Process,20.0,Very Low,moderate,Cost,1.0,2.0,0.0,23.238462,2
Smart Traffic Management plays a important role in maintaining data of road Traffic of a region which is helpful to users.,Safety Critical System,Functional,Schedule,19.0,Very Low,Low,Schedule,3.0,1.0,0.0,23.230769,2
User can ask any questions with the system and server during their chat,Safety Critical System,Functional,Quality,21.0,Very Low,Low,Project Complexity,2.0,5.0,0.0,27.023077,2
With the information provided by administrator user can directly contact with system or he can contact during their chat.,Safety Critical System,Functional,Business,30.0,Very Low,moderate,Organizational Requirements,4.0,3.0,0.0,33.961538,2
Smart Traffic Management System can help by creating awareness,Safety Critical System,Functional,Requirement,16.0,Very Low,moderate,Project Complexity,1.0,2.0,0.0,20.330769,2
User can enter into his account only by login,Safety Critical System,Functional,Quality,20.0,Very Low,moderate,Cost,2.0,1.0,0.0,23.346154,2
User can exit from his account,Safety Critical System,Functional,Quality,21.0,Very Low,Low,Software Requirement,4.0,5.0,0.0,28.523077,2
Administrator can maintain all backup data,Safety Critical System,Functional,Business,29.0,Low,high,Cost,3.0,3.0,0.0,32.692308,2
System can participate in chat with user and SERVER,Safety Critical System,Functional,Quality,1.0,Negligible,Low,Cost,1.0,2.0,0.0,8.423077,1
Admin has to provide the Traffic information to the user,Safety Critical System,Functional,Requirement,26.0,Very Low,moderate,Estimations,4.0,1.0,0.0,29.576923,2
System can respond to the queries asked by user,Safety Critical System,Functional,Requirement,7.0,Negligible,moderate,Software Requirement,2.0,4.0,0.0,15.561538,1
Day to day updating in improvements of operations can be provided by admin and they can be send to registered users every day,Safety Critical System,Functional,People,9.0,Negligible,high,Planning and Control,2.0,3.0,4.0,19.2,1
System can view the queries which are asked by user,Safety Critical System,Functional,People,21.0,Very Low,Low,Schedule,1.0,1.0,5.0,26.730769,2
User can view the response to their queries which are sent by system,Safety Critical System,Functional,Schedule,12.0,Negligible,Low,Team,1.0,2.0,5.0,20.769231,2
User can view the updating provided by admin,Safety Critical System,Functional,Requirement,31.0,Very Low,moderate,Project Complexity,1.0,3.0,5.0,36.484615,2
System can withstand even though many no. of customers request the desired service. Access is given to any users,Safety Critical System,Performance,Quality,20.0,Very Low,moderate,Software Requirement,2.0,1.0,5.0,26.946154,2
"By incorporating a robust and proven DB2 UDB into the system, reliable 0.6 and integrity of data is ensured",Safety Critical System,Safety,User,19.0,Very Low,high,User,2.0,4.0,5.0,28.076923,2
There must be a power backup for server system,Safety Critical System,Safety,Requirement,17.0,Very Low,moderate,Cost,2.0,3.0,6.0,27.192308,2
Every day the data should be backup even when the operation of a user is not successful,Safety Critical System,Safety,Business,15.0,Very Low,moderate,Planning and Control,1.0,5.0,3.0,23.930769,2
Sensitive data is protected from unwanted access by users appropriate technology and implementing strict user-access criteria,Safety Critical System,Security,Project complexity,13.0,Very Low,Low,Team,1.0,2.0,2.0,19.130769,1
Facility of unique user number and Password in such a way that unauthorized user cannot log in,Safety Critical System,Security,Project complexity,10.0,Very Low,Low,User,1.0,1.0,2.0,15.861538,1
Operational rights for each user/terminal can be defined,Safety Critical System,Security,Project complexity,11.0,Very Low,high,Team,1.0,5.0,2.0,20.207692,2
Operational rights for each user/terminal can be defined,Safety Critical System,Security,Project complexity,19.0,Very Low,Low,Team,2.0,3.0,3.0,25.284615,2
